"idpozo","mediana_pet","mediana_zscore"
"164941","10958.1063333333333333","22.3918226946900351453536646839345907"
"164942","8316.3788888888888889","16.9243434826309360837975917877384376"
"165482","7385.2149666666666667","14.9971501991315178863687861130857651"
"165414","7035.9500000000000000","14.2742902580855925292832175777335532"
"165097","6976.1755555555555556","14.1505774454335246915949692049004636"
"165093","6956.3077750000000000","14.1094578827755018160466456296964670"
"165294","6799.9414000000000000","13.7858325570154745723330593638525942"
"165422","6663.3140000000000000","13.5030602101298634795533384284663441"
"165363","6610.3633333333333333","13.3934703014988639062363116582675489"
"165420","6571.6800000000000000","13.3134089305584445191121901068765045"
"165174","6536.5212500000000000","13.2406422508802505477106336589238148"
"164127","6486.7108888888888889","13.1375517089347208524158451951348350"
"164204","6351.2485667777777778","12.8571906778535943970280150782910024"
"164205","6188.2133432222222222","12.5197630989797762004408046577483866"
"165173","6175.2612500000000000","12.4929566619288699068025728664500013"
"165172","6084.9637500000000000","12.3060714837515535877459498818726770"
"165096","5999.7333333333333333","12.1296734483145048275736056800017991"
"164713","5611.4155555555555556","11.3259874427283089370534062111105014"
"165350","5546.2683333333333333","11.1911548035881641800361706269675915"
"165275","5498.0942857142857143","11.0914508752091034610344433073731962"
"164799","5489.4140000000000000","11.0734856298551977696436540895276027"
"165296","5426.7254000000000000","10.9437415042627227642579787869890601"
"165094","5379.2711111111111111","10.8455272321701638113362522334534312"
"164802","5332.1640000000000000","10.7480315002460392528336209842391479"
"165438","5300.4630000000000000","10.6824211895131938846848460432486912"
"165030","5274.3695000000000000","10.6284165006040900515631760983657387"
"164806","5244.7410000000000000","10.5670955614681603020222790181747117"
"165361","5215.0316666666666667","10.5056073247669306670752845706746600"
"165279","5214.8128571428571429","10.5051544633162367210128295469427195"
"165352","5194.0383333333333333","10.4621582498696655830504920217163836"
"165362","5189.4783333333333333","10.4527205975261503980797209504278917"
"165175","5173.4900000000000000","10.4196301739401338887871014742325324"
"164907","5168.2141111111111111","10.4087108745681277599380000420202649"
"164810","5078.2520000000000000","10.2225198375603752953120367182295954"
"164809","5067.1520000000000000","10.1995466048820817529489755578562927"
"165509","5064.2125000000000000","10.1934628375435372603565234604763536"
"165495","4977.0975000000000000","10.0131643542309659141440844527357893"
"165496","4973.8950000000000000","10.0065362661541879799623093747091675"
"164803","4938.6050000000000000","9.9334979435220276997828113251980097"
"164827","4923.4872222222222222","9.9022092744708903687125600591280240"
"164711","4914.5614444444444444","9.8837359438651578677605137214392538"
"164905","4896.8973333333333333","9.8471772290353573423926220888800291"
"165277","4863.1757142857142857","9.7773849226687151922486014412481295"
"165494","4814.8525000000000000","9.6773722699165753032706738252793483"
"163524","4783.1200000000000000","9.6116967648747780210151928999148593"
"165027","4773.3447500000000000","9.5914653150785177552508223046050281"
"165376","4708.7026000000000000","9.4576780040176931688125922155937588"
"165095","4635.8533333333333333","9.3069047469387393718860511385657564"
"165415","4623.6680000000000000","9.2816852426207904609363795536226196"
"165003","4594.7894444444444444","9.2219164339549522255514332372147719"
"164574","4572.6120000000000000","9.1760166509430467583338164361433996"
"164660","4555.3190000000000000","9.1402260101587467377856707923293885"
"165493","4551.6900000000000000","9.1327152118353659030797654814289637"
"165421","4525.5900000000000000","9.0786970701323513575233784286593060"
"165507","4518.8500000000000000","9.0647475576772433867551773276758771"
"165327","4496.3842857142857143","9.0182511539322183871153446625496792"
"165577","4496.1133333333333333","9.0176903744644385061370271250013133"
"163897","4478.9125555555555556","8.9820906023800682517566626700072205"
"164800","4456.2870000000000000","8.9352633814563353785695741406096667"
"164829","4422.3375555555555556","8.8649995538418288680458351791856349"
"165497","4386.0700000000000000","8.7899380229904130664878565281833428"
"165604","4353.9266666666666667","8.7234122323847720367560250658771092"
"164886","4351.9710000000000000","8.7193646661348156339619085545284555"
"164967","4348.0310000000000000","8.7112102033643222504564616201256796"
"164797","4336.9020000000000000","8.6881769505285809141538933630270773"
"164968","4335.3210000000000000","8.6849048171173753204173168139685015"
"165581","4311.0466666666666667","8.6346651857861029289607041148133957"
"165605","4263.0500000000000000","8.5353283757756678789649931093433701"
"164882","4226.1340000000000000","8.4589247850052278420393385330964474"
"164828","4223.8877777777777778","8.4542758673693481398129957461284125"
"163527","4220.6500000000000000","8.4475747662657898432718585868363400"
"165187","4214.9825000000000000","8.4358449648059494242319802871592505"
"165354","4205.6366666666666667","8.4165022617663801991868052936467438"
"165100","4181.7550000000000000","8.3670753171646882819915645478525915"
"165418","4178.6820000000000000","8.3607152501358237724706918500303249"
"165167","4167.4312500000000000","8.3374300161218317840255377644384388"
"165423","4139.5860000000000000","8.2797997992537909497476072440884652"
"164969","4128.7710000000000000","8.2574164198469671064452192756706933"
"165353","4105.3950000000000000","8.2090360336228418950687402049602137"
"164411","4079.9110000000000000","8.1562928028504425587101590688382996"
"164767","4077.0274444444444444","8.1503248215244458218592465239533352"
"164731","4063.6120000000000000","8.1225594047041807166402911541604203"
"165325","4052.9814285714285714","8.1005577298454608239581182688577312"
"164885","4035.4330000000000000","8.0642384386103398400413091327046278"
"164010","3997.1070000000000000","7.9849166263915760288154819225724478"
"164653","3993.1870000000000000","7.9768035568331156066476260893595337"
"165511","3987.4375000000000000","7.9649040432039400461236242748040108"
"164883","3978.6090000000000000","7.9466320445822900876774724320692628"
"165510","3973.3325000000000000","7.9357114804176940627875001606539717"
"165579","3970.7300000000000000","7.9303251887019049687334581183232040"
"164944","3941.8518888888888889","7.8705572998852230213782360486084644"
"163526","3940.6222222222222222","7.8680123072320631151386765104517943"
"164962","3940.4910000000000000","7.8677407217686690743625926743116455"
"165170","3934.5225000000000000","7.8553879524677325871919683017271359"
"165267","3932.9900000000000000","7.8522161975957069246990501730539749"
"165180","3928.6100000000000000","7.8431510841604883917665990124742392"
"163693","3924.5870000000000000","7.8348248395600582187101490081335368"
"164970","3923.8610000000000000","7.8333222659632617221555920349415532"
"165326","3890.1900000000000000","7.7636347238451696622540936267497087"
"165089","3890.1884444444444444","7.7636315043731226541500587633238305"
